Assembly Constituency,Part,Parlimentary Constituency,Subpart,Village,Post Office,Police Station,Rajasva Halka,Panchayat,Anchal,Prakhand,District,Zip Code,Polling Booth,Polling Address,Sanity
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",परसौनी टोला बनरहिया बेलवनवा,बलगंगवा,वाल्मीकिनगर,वाल्मीकिनगर,001,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"प्राथमिक विद्यालय, रोहुआ ठोला","प्राथमिक विद्यालय,रोहुआ","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",संतपुर,संतपुर,वाल्मीकिनगर,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"प्राथमिक विद्यालय, संतपुर मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, संतपुर","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",दरदरी,दरदरी,नौरंगिया,वाल्मीकिनगर,003,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,"मध्य विद्यालय, दरदरी मतदान केन्द्र की विशेष","मध्य विद्यालय, दरदरी","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",कटहवा,कटहरवा, , ,003,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",बाल्मीकिनगर चरधरिया,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2, ,845107,"मध्य विद्यालय, वाल्मीकिनगर",,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",हरना टांड,हरनाटॉड, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",बैरियाकला,खजुरिया, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, बैरियाकला मन्द्ान केन्द की विशेष","प्राथमिक विद्यालय, बैरियाकला","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",कटहरवा,कटहरवा, , ,003,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",9,"['1', 'वाल्मीकिनगर', 'सामान्य']",भैंसा लोटन ,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2, ,845107,"पंचायत भवन, टंकी बजार पश्चिम भाग मतदान केन्द्र की विशेष","पंचायत भवन, टंकी","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",शथारी टोला कैलाशपुर,ठाड़ी,वाल्मीकिनगर,वाल्मीकिनगर,001,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"उत्क्रमित मध्य विद्यालय, ठाढ़ी मतदान केन्द्र की विशेष","उक्रमित मध्य विद्यालय, ठाढ़ी","['', 1338, 733, 603, 0, 1336]"
